mode,nominal_target_ratio,struct_seed,achieved_p10_ratio,n_rounds,p_erode,expand_vox,damage_seed,phi_Ni_pre,phi_Ni_post,P_span_pre,P_span_post,P_reach_pre,P_reach_post,tpb_pre,tpb_post,lcf_pre,lcf_post,retained_P_span,retained_P_reach,retained_tpb,voxels_added_expand,voxels_removed_erosion,voxels_removed_islands,voxels_pre,voxels_post
lower_tail,1.5,2,1.333333372807931,5,0.35,1,101,0.3169829963235294,0.22353033088235294,1.0,1.0,1.0,1.0,21.692325367647058,20.587086397058822,1.0,1.0,1.0,1.0,0.9490493088289815,43435,235456,11332,689755,486402
lower_tail,1.5,2,1.333333372807931,5,0.35,1,102,0.3169829963235294,0.22338970588235293,1.0,1.0,1.0,1.0,21.692325367647058,19.593290441176467,1.0,1.0,1.0,1.0,0.9032360574122132,43435,235594,11500,689755,486096
lower_tail,1.5,2,1.333333372807931,10,0.35,1,100,0.3169829963235294,0.10151148897058823,1.0,0.0,1.0,0.0,21.692325367647058,0.01723345588235294,1.0,1.0,0.0,0.0,0.0007944494465335521,43435,486993,25308,689755,220889
lower_tail,1.5,2,1.333333372807931,10,0.35,1,101,0.3169829963235294,0.10171737132352941,1.0,0.0,1.0,0.0,21.692325367647058,0.02068014705882353,1.0,1.0,0.0,0.0,0.0009533393358402627,43435,486847,25006,689755,221337
lower_tail,1.5,2,1.333333372807931,10,0.35,1,102,0.3169829963235294,0.10136994485294118,1.0,0.0,1.0,0.0,21.692325367647058,0.01953125,1.0,1.0,0.0,0.0,0.0009003760394046925,43435,487461,25148,689755,220581
lower_tail,1.5,3,1.333333372807931,2,0.35,1,100,0.3268740808823529,0.3098887867647059,1.0,1.0,1.0,1.0,20.832950367647058,89.45197610294117,1.0,1.0,1.0,1.0,4.293773782606298,45661,81682,939,711278,674318
lower_tail,1.5,3,1.333333372807931,2,0.35,1,101,0.3268740808823529,0.3098653492647059,1.0,1.0,1.0,1.0,20.832950367647058,89.78975183823529,1.0,1.0,1.0,1.0,4.3099873159433075,45661,81712,960,711278,674267
lower_tail,1.5,3,1.333333372807931,2,0.35,1,102,0.3268740808823529,0.31005514705882353,1.0,1.0,1.0,1.0,20.832950367647058,89.81043198529412,1.0,1.0,1.0,1.0,4.310979981249655,45661,81268,991,711278,674680
lower_tail,1.5,3,1.333333372807931,5,0.35,1,100,0.3268740808823529,0.23444623161764705,1.0,1.0,1.0,1.0,20.832950367647058,18.846507352941174,1.0,1.0,1.0,1.0,0.9046489825180609,45661,235475,11309,711278,510155
lower_tail,1.5,3,1.333333372807931,5,0.35,1,101,0.3268740808823529,0.2347780330882353,1.0,1.0,1.0,1.0,20.832950367647058,18.758042279411764,1.0,1.0,1.0,1.0,0.9004025809297965,45661,234731,11331,711278,510877
lower_tail,1.5,3,1.333333372807931,5,0.35,1,102,0.3268740808823529,0.23465211397058824,1.0,1.0,1.0,1.0,20.832950367647058,18.761488970588236,1.0,1.0,1.0,1.0,0.9005680251475211,45661,234881,11455,711278,510603
lower_tail,1.5,3,1.333333372807931,10,0.35,1,100,0.3268740808823529,0.11090992647058824,1.0,0.0,1.0,0.0,20.832950367647058,0.016084558823529414,1.0,1.0,0.0,0.0,0.0007720730160480893,45661,491731,23868,711278,241340
lower_tail,1.5,3,1.333333372807931,10,0.35,1,101,0.3268740808823529,0.11129595588235294,1.0,0.0,1.0,0.0,20.832950367647058,0.014935661764705881,1.0,1.0,0.0,0.0,0.0007169249434732256,45661,491067,23692,711278,242180
lower_tail,1.5,3,1.333333372807931,10,0.35,1,102,0.3268740808823529,0.11063970588235295,1.0,0.0,1.0,0.0,20.832950367647058,0.010340073529411764,1.0,1.0,0.0,0.0,0.0004963326531737716,45661,492183,24004,711278,240752
lower_tail,1.5,4,1.333333372807931,2,0.35,1,100,0.32715670955882353,0.30979963235294117,1.0,1.0,1.0,1.0,21.10753676470588,89.71507352941175,1.0,1.0,1.0,1.0,4.250381014587416,44565,81347,987,711893,674124
lower_tail,1.5,4,1.333333372807931,2,0.35,1,101,0.32715670955882353,0.30975091911764707,1.0,1.0,1.0,1.0,21.10753676470588,90.11144301470588,1.0,1.0,1.0,1.0,4.269159590681472,44565,81516,924,711893,674018
lower_tail,1.5,4,1.333333372807931,2,0.35,1,102,0.32715670955882353,0.3098529411764706,1.0,1.0,1.0,1.0,21.10753676470588,90.40900735294116,1.0,1.0,1.0,1.0,4.2832571304158495,44565,81267,951,711893,674240
lower_tail,1.5,4,1.333333372807931,5,0.35,1,100,0.32715670955882353,0.23458639705882353,1.0,1.0,1.0,1.0,21.10753676470588,19.270450367647058,1.0,1.0,1.0,1.0,0.9129653821032006,44565,234832,11166,711893,510460
lower_tail,1.5,4,1.333333372807931,5,0.35,1,101,0.32715670955882353,0.23486534926470587,1.0,1.0,1.0,1.0,21.10753676470588,19.53929227941176,1.0,1.0,1.0,1.0,0.9257021554539516,44565,234224,11167,711893,511067
lower_tail,1.5,4,1.333333372807931,5,0.35,1,102,0.32715670955882353,0.2348221507352941,1.0,1.0,1.0,1.0,21.10753676470588,19.13717830882353,1.0,1.0,1.0,1.0,0.9066514260831701,44565,234276,11209,711893,510973
lower_tail,1.5,4,1.333333372807931,10,0.35,1,100,0.32715670955882353,0.11101792279411765,1.0,0.0,1.0,0.0,21.10753676470588,0.022977941176470586,1.0,1.0,0.0,0.0,0.001088613106901807,44565,492004,22879,711893,241575
lower_tail,1.5,4,1.333333372807931,10,0.35,1,101,0.32715670955882353,0.11177941176470588,1.0,0.0,1.0,1.0,21.10753676470588,0.006893382352941175,1.0,1.0,0.0,1.0,0.0003265839320705421,44565,491548,21678,711893,243232
lower_tail,1.5,4,1.333333372807931,10,0.35,1,102,0.32715670955882353,0.11158363970588235,1.0,0.0,1.0,0.0,21.10753676470588,0.016084558823529414,1.0,1.0,0.0,0.0,0.0007620291748312651,44565,491474,22178,711893,242806
lower_tail,2.0,0,2.0,2,0.35,1,100,0.32989430147058824,0.31373345588235296,1.0,1.0,1.0,1.0,21.708409926470587,88.13648897058823,1.0,1.0,1.0,1.0,4.060015877216195,47918,82144,940,717850,682684
lower_tail,2.0,0,2.0,2,0.35,1,101,0.32989430147058824,0.31367279411764704,1.0,1.0,1.0,1.0,21.708409926470587,88.4673713235294,1.0,1.0,1.0,1.0,4.075258004763165,47918,82355,861,717850,682552
lower_tail,2.0,0,2.0,2,0.35,1,102,0.32989430147058824,0.3139168198529412,1.0,1.0,1.0,1.0,21.708409926470587,88.56272977941177,1.0,1.0,1.0,1.0,4.0796507012437155,47918,81827,858,717850,683083
lower_tail,2.0,0,2.0,5,0.35,1,100,0.32989430147058824,0.2378221507352941,1.0,1.0,1.0,1.0,21.708409926470587,18.753446691176467,1.0,1.0,1.0,1.0,0.8638793331569197,47918,237159,11108,717850,517501
lower_tail,2.0,0,2.0,5,0.35,1,101,0.32989430147058824,0.2379967830882353,1.0,1.0,1.0,1.0,21.708409926470587,19.202665441176467,1.0,1.0,1.0,1.0,0.8845726382640909,47918,236548,11339,717850,517881
lower_tail,2.0,0,2.0,5,0.35,1,102,0.32989430147058824,0.2378157169117647,1.0,1.0,1.0,1.0,21.708409926470587,18.43175551470588,1.0,1.0,1.0,1.0,0.84906059804181,47918,237003,11278,717850,517487
lower_tail,2.0,0,2.0,10,0.35,1,100,0.32989430147058824,0.11251838235294118,1.0,0.0,1.0,0.0,21.708409926470587,0.009191176470588236,1.0,1.0,0.0,0.0,0.00042339243186028053,47918,497367,23561,717850,244840
lower_tail,2.0,0,2.0,10,0.35,1,101,0.32989430147058824,0.11303584558823529,1.0,0.0,1.0,0.0,21.708409926470587,0.014935661764705881,1.0,1.0,0.0,0.0,0.0006880127017729558,47918,496989,22813,717850,245966
lower_tail,2.0,0,2.0,10,0.35,1,102,0.32989430147058824,0.11290073529411765,1.0,0.0,1.0,0.0,21.708409926470587,0.01838235294117647,1.0,1.0,0.0,0.0,0.0008467848637205611,47918,497871,22225,717850,245672
lower_tail,2.0,1,1.937129432263008,2,0.35,1,100,0.32490716911764705,0.30813556985294116,1.0,1.0,1.0,1.0,21.375229779411764,89.28193933823529,1.0,1.0,1.0,1.0,4.176887933351249,46440,82020,915,706998,670503
lower_tail,2.0,1,1.937129432263008,2,0.35,1,101,0.32490716911764705,0.30797564338235295,1.0,1.0,1.0,1.0,21.375229779411764,89.64613970588235,1.0,1.0,1.0,1.0,4.193926363880677,46440,82403,880,706998,670155
lower_tail,2.0,1,1.937129432263008,2,0.35,1,102,0.32490716911764705,0.3080252757352941,1.0,1.0,1.0,1.0,21.375229779411764,89.59673713235294,1.0,1.0,1.0,1.0,4.191615157215803,46440,82236,939,706998,670263
lower_tail,2.0,1,1.937129432263008,5,0.35,1,100,0.32490716911764705,0.23208961397058825,1.0,1.0,1.0,1.0,21.375229779411764,19.211856617647058,1.0,1.0,1.0,1.0,0.8987906476753561,46440,237034,11377,706998,505027
lower_tail,2.0,1,1.937129432263008,5,0.35,1,101,0.32490716911764705,0.2321001838235294,1.0,1.0,1.0,1.0,21.375229779411764,19.217601102941178,1.0,1.0,1.0,1.0,0.8990593926363881,46440,236970,11418,706998,505050
lower_tail,2.0,1,1.937129432263008,5,0.35,1,102,0.32490716911764705,0.23168198529411765,1.0,1.0,1.0,1.0,21.375229779411764,18.868336397058822,1.0,1.0,1.0,1.0,0.8827196990056436,46440,237881,11417,706998,504140
lower_tail,2.0,1,1.937129432263008,10,0.35,1,100,0.32490716911764705,0.10712316176470588,1.0,0.0,1.0,0.0,21.375229779411764,0.0275735294117647,1.0,1.0,0.0,0.0,0.0012899758129535069,46440,496747,23591,706998,233100
lower_tail,2.0,1,1.937129432263008,10,0.35,1,101,0.32490716911764705,0.10751792279411765,1.0,0.0,1.0,1.0,21.375229779411764,0.009191176470588236,1.0,1.0,0.0,1.0,0.00042999193765116907,46440,496672,22807,706998,233959
