mode,nominal_target_ratio,struct_seed,achieved_p10_ratio,n_rounds,p_erode,expand_vox,damage_seed,phi_Ni_pre,phi_Ni_post,P_span_pre,P_span_post,P_reach_pre,P_reach_post,tpb_pre,tpb_post,lcf_pre,lcf_post,retained_P_span,retained_P_reach,retained_tpb,voxels_added_expand,voxels_removed_erosion,voxels_removed_islands,voxels_pre,voxels_post
lower_tail,1.5,4,1.333333372807931,8,0.35,1,100,0.32715670955882353,0.1561966911764706,1.0,1.0,1.0,1.0,21.10753676470588,0.5732996323529411,1.0,1.0,1.0,1.0,0.02716089701720009,44565,395524,21050,711893,339884
lower_tail,1.5,4,1.333333372807931,8,0.35,1,101,0.32715670955882353,0.15699908088235295,1.0,1.0,1.0,1.0,21.10753676470588,0.5687040441176471,1.0,1.0,1.0,1.0,0.026943174395819728,44565,395447,19381,711893,341630
lower_tail,1.5,4,1.333333372807931,8,0.35,1,102,0.32715670955882353,0.1569940257352941,1.0,1.0,1.0,1.0,21.10753676470588,0.5962775735294118,1.0,1.0,1.0,1.0,0.028249510124101897,44565,395332,19507,711893,341619
lower_tail,2.0,0,2.0,6,0.35,1,100,0.32989430147058824,0.21083455882352942,1.0,1.0,1.0,1.0,21.708409926470587,7.03469669117647,1.0,1.0,1.0,1.0,0.3240539825350622,47918,292341,14651,717850,458776
lower_tail,2.0,0,2.0,6,0.35,1,101,0.32989430147058824,0.21099356617647058,1.0,1.0,1.0,1.0,21.708409926470587,7.441406249999999,1.0,1.0,1.0,1.0,0.3427890976448796,47918,291744,14902,717850,459122
lower_tail,2.0,0,2.0,6,0.35,1,102,0.32989430147058824,0.21087545955882353,1.0,1.0,1.0,1.0,21.708409926470587,7.281709558823529,1.0,1.0,1.0,1.0,0.33543265414130724,47918,292328,14575,717850,458865
lower_tail,2.0,0,2.0,7,0.35,1,100,0.32989430147058824,0.18454963235294117,1.0,1.0,1.0,1.0,21.708409926470587,2.2346047794117645,1.0,1.0,1.0,1.0,0.10293728499603069,47918,346691,17497,717850,401580
lower_tail,2.0,0,2.0,7,0.35,1,101,0.32989430147058824,0.1846185661764706,1.0,1.0,1.0,1.0,21.708409926470587,2.578125,1.0,1.0,1.0,1.0,0.11876157713680868,47918,346535,17503,717850,401730
lower_tail,2.0,0,2.0,7,0.35,1,102,0.32989430147058824,0.18445680147058824,1.0,1.0,1.0,1.0,21.708409926470587,2.4172794117647056,1.0,1.0,1.0,1.0,0.11135220957925376,47918,346878,17512,717850,401378
lower_tail,2.0,0,2.0,8,0.35,1,100,0.32989430147058824,0.1591613051470588,1.0,1.0,1.0,1.0,21.708409926470587,0.6686580882352942,1.0,1.0,1.0,1.0,0.03080179941783541,47918,399727,19706,717850,346335
